family,stage,level,variant,cue,resource,intervention,baseline,post,effect,max_plastic_change,wall_seconds,peak_rss_bytes
generic,3,1,primary,A,0.8,matched_control,0.01857769602049432,0.0185651025215118,,0.0026939552458989935,32.209176167001715,794591232
generic,3,1,primary,A,0.8,silence_dan,0.01858339516519977,0.01858339516519977,,0.0,32.263406875004875,794591232
generic,3,1,primary,B,0.2,intact,0.016287760528187763,0.016283449093006663,,0.0007601158638033123,32.15839445799793,794591232
generic,3,1,primary,B,0.8,intact,0.01628508536605816,0.016275024898586156,,0.00177322285914161,32.12377237500186,794591232
generic,3,2,context_cut,A,0.2,intact,0.01858125771346529,0.018575860050142515,,0.0011552008723380025,64.30688470799942,795394048
generic,3,2,context_cut,A,0.8,intact,0.018578028471596803,0.018565433530367124,,0.0026942490218486714,63.22556220900151,795394048
generic,3,2,context_double,A,0.2,intact,0.018580042152940603,0.01857464639661047,,0.001154811177968229,69.15916375000234,795394048
generic,3,2,context_double,A,0.8,intact,0.01857681398580643,0.01856422349291155,,0.0026933408380872548,70.00368750000052,795394048
generic,3,2,context_half,A,0.2,intact,0.018581173900762207,0.01857577638508686,,0.001155171079206485,64.70663291700475,795394048
generic,3,2,context_half,A,0.8,intact,0.018577944743282376,0.018565350146459356,,0.002694179588619394,64.82114916599676,795394048
generic,3,2,glutamate_inhibitory,A,0.2,intact,0.0185800743732783,0.01857468104718858,,0.0011543081280165346,72.13195158300368,795394048
generic,3,2,glutamate_inhibitory,A,0.8,intact,0.018576847682745676,0.018564262858060256,,0.0026921684623490982,65.72619033400406,795394048
generic,3,2,primary,A,0.2,freeze_plasticity,0.01858098051379773,0.01858098051379773,,0.0,63.29775541699928,795394048
generic,3,2,primary,A,0.2,intact,0.01858093856138879,0.01857554144594302,,0.0011550897772885094,76.01493995900091,795394048
generic,3,2,primary,A,0.2,matched_control,0.01858089007815414,0.018575493046695625,,0.0011550719303081713,74.74845608299802,795394048
generic,3,2,primary,A,0.2,silence_dan,0.01858336033620877,0.01858336033620877,,0.0,82.13214337499812,795394048
generic,3,2,primary,A,0.8,freeze_plasticity,0.018577807531673245,0.018577807531673245,,0.0,65.4647450420016,795394048
generic,3,2,primary,A,0.8,intact,0.018577709632051544,0.018565115968812065,,0.0026939901146412204,78.54914162500063,795394048
generic,3,2,primary,A,0.8,matched_control,0.018577661199724094,0.018565067732388724,,0.0026939485211407987,73.70846312500362,795394048
generic,3,2,primary,A,0.8,silence_dan,0.01858336033620877,0.01858336033620877,,0.0,76.91284666700085,795394048
generic,3,2,primary,B,0.2,intact,0.016287843441421784,0.016283531945505872,,0.0007601220640038875,81.16952729100012,795394048
generic,3,2,primary,B,0.8,intact,0.016285168245515402,0.016275107636329347,,0.0017732373189032202,79.461945791998,795394048
generic,3,2,role_normalization,A,0.2,intact,0.04550148795620613,0.0455014877043573,,1.3586064495640926e-08,68.38706195800478,795394048
generic,3,2,role_normalization,A,0.8,intact,0.04550148792247706,0.04550148733482967,,3.17008159722576e-08,68.45638745800534,795394048
generic,3,3,primary,A,0.2,freeze_plasticity,0.01858098142009611,0.01858098142009611,,0.0,231.95407329199952,981336064
generic,3,3,primary,A,0.2,intact,0.01858093946728335,0.0185755422989763,,0.0011551007935587387,215.3596062910001,981336064
generic,3,3,primary,A,0.2,matched_control,0.01858089098340391,0.01857549389928037,,0.0011550829061794943,184.67230020900024,981336064
generic,3,3,primary,A,0.2,silence_dan,0.01858336126584129,0.01858336126584129,,0.0,385.9775794579982,981336064
