id,name,type,skid
13780563,Putative Mi1 13780563 MF,neuron,13780562
13780765,Putative Mi1 13780765 HL,neuron,13780764
13793404,Putative Mi1 13793404 HL,neuron,13793403
13793410,Putative Mi1 13793410 MF,neuron,13793409
13795322,Putative Mi1 13795322 HL,neuron,13795321
13800935,Putative Mi1 13800935 HL,neuron,13800934
13806443,Putative Mi1 13806443 HL,neuron,13806442
13817202,Putative Mi1 13817202 HL,neuron,13817201
13826950,Putative Mi1 13826950 HL,neuron,13826949
13828966,Putative Mi1 13828966 HL,neuron,13828965
13862637,Putative Mi1 13862637 HL,neuron,13862636
13864964,Putative Mi1 13864964 HL,neuron,13864963
13868899,Putative Mi1 13868899 HL,neuron,13868898
13870805,Putative Mi1 13870805 HL,neuron,13870804
13880912,Putative Mi1 13880912 HL,neuron,13880911
13883282,Putative Mi1 13883282 HL,neuron,13883281
13884548,Putative Mi1 13884548 MF,neuron,13884547
13885453,Putative Mi1 13885453 HL,neuron,13885452
13886410,Putative Mi1 13886410 HL,neuron,13886409
13887478,Putative Mi1 13887478 HL,neuron,13887477
13890192,Putative Mi1 13890192 MF,neuron,13890191
13891363,Putative Mi1 13891363 HL,neuron,13891362
13896104,Putative Mi1 13896104 HL,neuron,13896103
13899116,Putative Mi1 13899116 HL,neuron,13899115
13902603,Putative Mi1 13902603 HL,neuron,13902602
13970928,Putative Mi1 13970928 HL,neuron,13970927
13975333,Putative Mi1 13975333 HL,neuron,13975332
14346136,Putative Mi1 14346136 CL,neuron,14346135
14356436,Putative Mi1 9726563026 BG HL,neuron,14356435
14356908,Putative Mi1 14356908 CL,neuron,14356907
14541168,Putative Mi1 14541168 CL,neuron,14541167
14567425,Putative Mi1 14567425 CL,neuron,14567424
14780655,Putative Mi1 6836762092 CL,neuron,14780654
14780949,Putative Mi1 7880878943 CL,neuron,14780948
14781058,Putative Mi1 6962156960 CL,neuron,14781057
14781077,Putative Mi1 8134858292 CL,neuron,14781076
14781124,Putative Mi1 8521916925 CL,neuron,14781123
14781167,Putative Mi1 9704159215 CL,neuron,14781166
14781201,Putative Mi1 10359951137 CL,neuron,14781200
14781222,Putative Mi1 10355440318 CL,neuron,14781221
