root_id,hemisphere,type,column_id,x,y,p,q,annotation_v3_1_0_type,type_match,lens_index,retinal_direction,experimental_screen_transform
720575940615177878,left,T4a,739,-7,2,8,-6,T4a,True,,,
720575940615181974,right,T4a,441,3,-16,-11,-5,T4a,True,,,
720575940615189407,left,T4a,645,-4,27,17,10,T4a,True,,,
720575940615190993,left,T5d,704,-7,8,11,-3,T5d,True,,,
720575940615195554,left,T5a,43,-5,18,14,4,T5a,True,,,
720575940615198370,left,T5b,172,1,22,10,12,T5b,True,,,
720575940615199199,left,T4b,385,-3,-18,-6,-12,T4b,True,,,
720575940615211231,left,T4b,315,-3,-6,0,-6,T4b,True,,,
720575940615213535,left,T4b,588,1,4,1,3,T4b,True,,,
720575940615213983,right,T5c,69,1,8,3,5,T5c,True,,,
720575940615215170,right,T4c,537,0,-23,-12,-11,T4c,True,,,
720575940615218087,right,T5b,412,-6,21,16,5,T5b,True,,,
720575940615220639,right,T4b,695,-6,10,11,-1,T4b,True,,,
720575940615221758,right,T4c,780,-6,25,18,7,T4c,True,,,
720575940615222934,left,T4b,675,-7,19,16,3,T4b,True,,,
720575940615228482,right,T4b,122,-5,9,9,0,T4b,True,,,
720575940615229346,right,T4b,665,7,-2,-8,6,T4b,True,,,
720575940615230523,right,T5c,174,4,-15,-12,-3,T5c,True,,,
720575940615234207,right,T4a,292,-4,18,13,5,T4a,True,,,
720575940615235138,right,T5a,678,3,-7,-7,0,T5a,True,,,
720575940615239285,right,T4b,140,3,8,1,7,T4b,True,,,
720575940615247839,right,T5b,632,3,-20,-13,-7,T5b,True,,,
720575940615248790,left,T5b,167,0,-17,-9,-8,T5b,True,,,
720575940615248807,left,T5b,228,-7,1,7,-6,T5b,True,,,
720575940615250143,left,T4a,634,-3,-15,-5,-10,T4a,True,,,
720575940615253415,left,T5c,360,-5,19,14,5,T5c,True,,,
720575940615255446,right,T4c,408,-6,-4,4,-8,T4c,True,,,
720575940615255698,left,T4c,725,-3,-24,-9,-15,T4c,True,,,
720575940615260428,left,T5d,742,-4,11,9,2,T5d,True,,,
720575940615263298,right,T4d,42,-1,14,8,6,T4d,True,,,
720575940615263967,right,T4b,165,4,16,4,12,T4b,True,,,
720575940615270210,left,T4a,698,6,-7,-10,3,T4a,True,,,
720575940615278303,left,T4c,180,2,-27,-16,-11,T4c,True,,,
720575940615279510,left,T5c,438,2,27,11,16,T5c,True,,,
720575940615280962,right,T5c,109,4,-5,-7,2,T5c,True,,,
720575940615295378,left,T4c,770,5,4,-3,7,T4c,True,,,
720575940615297503,left,T5d,68,3,16,5,11,T5d,True,,,
720575940615297548,right,T5d,79,2,1,-2,3,T5d,True,,,
720575940615299701,left,T5a,51,0,-19,-10,-9,T5a,True,,,
720575940615301023,right,T5a,386,-6,19,15,4,T5a,True,,,
720575940615307682,right,T4a,447,-1,2,2,0,T4a,True,,,
720575940615312746,left,T4c,383,-6,11,11,0,T4c,True,,,
720575940615313373,right,T5b,293,4,-17,-13,-4,T5b,True,,,
720575940615315602,left,T5d,110,-7,0,7,-7,T5d,True,,,
720575940615320994,left,T5b,41,-3,28,17,11,T5b,True,,,
720575940615325290,left,T4b,160,-2,20,12,8,T4b,True,,,
720575940615327197,right,T5a,441,3,-16,-11,-5,T5a,True,,,
720575940615327338,left,T4d,133,-3,20,13,7,T4d,True,,,
720575940615329951,right,T5b,720,-5,21,15,6,T5b,True,,,
720575940615332246,right,T4b,384,-6,-2,5,-7,T4b,True,,,
720575940615337895,right,T4a,442,-5,25,17,8,T4a,True,,,
720575940615338642,left,T5d,184,-6,-5,3,-8,T5c,False,,,
720575940615339743,right,T4d,132,2,4,0,4,T4d,True,,,
720575940615348330,left,T5a,402,3,26,10,16,T5a,True,,,
720575940615355754,right,T5a,470,4,-9,-9,0,T5a,True,,,
720575940615362866,right,T5b,477,-3,2,4,-2,T5b,True,,,
720575940615363039,left,T4c,44,5,-10,-10,0,T4c,True,,,
720575940615363122,right,T5a,751,1,6,2,4,T5a,True,,,
720575940615363295,right,T4d,467,-2,-20,-8,-12,T4d,True,,,
720575940615368498,right,T5a,180,2,-27,-16,-11,T5a,True,,,
720575940615368671,left,T5c,191,-1,-11,-5,-6,T5c,True,,,
720575940615383975,left,T4b,722,6,-15,-14,-1,T4b,True,,,
720575940615398047,left,T4a,527,-4,-8,0,-8,T4a,True,,,
720575940615401589,left,T5b,208,5,-21,-16,-5,T5b,True,,,
720575940615402914,right,T4d,288,-1,30,16,14,T4d,True,,,
