level,family,arm,root_id,stimulus,seed,peak_model_rate,integral_model_rate_s,peak_time_after_onset_s,sensory_peak_sum,trace_path
L0,sensitivity,tau20ms,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/1cb192ff24e6f78e8659426f7363adbab8330423389c311b2663af0739d5ff44.npz
L0,sensitivity,tau20ms,720575940623047629,grating_0,17,0.000824647801886035,0.00036958870886867905,1.255,0.8210108834773059,traces/cb7b0e9178fe719f12663bfb03d0d8aae39614ddaeebef278db30c87f80252e6.npz
L0,sensitivity,tau20ms,720575940623047629,grating_90,17,0.001684243638776876,0.0012633700809762658,1.2199999999999998,1.9088255416968405,traces/95a6df38b28d621e3e1cfe3c2e0af226f626eb15e5a85806995e5f7fdb813fde.npz
L0,sensitivity,tau20ms,720575940623047629,grating_180,17,0.0024007363658301614,0.0014373706922330971,0.9849999999999999,1.1325238004440665,traces/592561fedd5187c0c6b320a87727ab8c9cdb47bc7d40e5d4a8b6bc96fe2a6c23.npz
L0,sensitivity,tau20ms,720575940623047629,grating_270,17,0.0007648693244305157,0.0003732059322387975,0.22999999999999998,2.9709315441205093,traces/6d6146709114b3a794bb3b01c4bf2e40bd14fb10e196344ceaa8906b7b5442a3.npz
L0,sensitivity,tau100ms,720575940623047629,expand,17,0.0005460971192078788,0.00039657962186368244,0.4249999999999998,1.1652852696331724,traces/229e26b18969706b7f2918eb204fa2c0138dda098fdf49b2aaaaf84f993a4489.npz
L0,sensitivity,tau100ms,720575940623047629,recede,17,0.002307712073406479,0.004062266869672334,1.4699999999999998,1.9703334071967968,traces/3bb56354397a2981092a37f9021429d9c7ef045692f70f514ce4df4ce9c9981b.npz
L0,sensitivity,tau100ms,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/2705925e5cbcfd15c07d4c132dc2dde122d42db009b1547d16e59297c21e25b2.npz
L0,sensitivity,tau100ms,720575940623047629,grating_0,17,0.001364809813788428,0.0018658430685778308,1.3449999999999998,1.6138244835695243,traces/b29c97714b351f2a67c5cf89b14953e4f5e80e77ea0019bdc9b045a738f5e591.npz
L0,sensitivity,tau100ms,720575940623047629,grating_90,17,0.0031333448662911392,0.005680502394976765,2.0300000000000002,3.259672824926012,traces/3e1c98d8c8fd30c91180e1009d2379ba48e3e9962c5dfc87c714889cfcecca98.npz
L0,sensitivity,tau100ms,720575940623047629,grating_180,17,0.0038599035547327585,0.0064311521700168295,1.12,2.4356114997137714,traces/b85cd306dadb65ce80f1499b927a2e57a53f600e0dbb944cf745da878aedbb6d.npz
L0,sensitivity,tau100ms,720575940623047629,grating_270,17,0.0013933689618044606,0.001790301281900757,1.4049999999999998,5.003274516153901,traces/91f570f7fecb06c18dea1d8a39497e92df03ce05b49d0c180d6d5ae4ebb6d25a.npz
L0,sensitivity,gain_half,720575940623047629,expand,17,0.0002569800404203141,0.00012880780270245473,0.33000000000000007,0.785824455780196,traces/abfa3b7675443ecd06948bbca96e271bb35dfc1c057cf9a19112b761f75f4949.npz
L0,sensitivity,gain_half,720575940623047629,recede,17,0.0008062675376819818,0.0010500023309667407,1.415,1.1647866883607065,traces/ebf0aed71dd00dce650d04039892e535d03e4ad2b9d99f69bef0f6419dbd5333.npz
L0,sensitivity,gain_half,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/312cca0d6b0d6258bac40179955c4965a65d65d64f31d910a11d03b4e6731f7c.npz
L0,sensitivity,gain_half,720575940623047629,grating_0,17,0.0004773274223852126,0.0004629118942620668,1.08,1.146174012634744,traces/87b0d4f1abfeba4a61dbd385b12fe579dd193a1e6457cd5d1c7162eb839e5a73.npz
L0,sensitivity,gain_half,720575940623047629,grating_90,17,0.0009975550397497222,0.001575853134824125,2.005,2.174963157516685,traces/13794e11add60cdf99028f965d6a0199bba08a763390fd37e6ef0ddcc7c2e3a9.npz
L0,sensitivity,gain_half,720575940623047629,grating_180,17,0.001453080953396504,0.0017854834797247955,2.0300000000000002,1.541651323931052,traces/f0bc70fbe9e5356db28de4797e572d1b96fd04b1bd7edc7bb4490c716a0a0f1b.npz
