run,target,paired,intervention,paired_depression,control_depression,selective_depression,plastic_synapse_groups_changed,restoration_exact,replay_exact,plastic_only_depression,wall_seconds,baseline_A_PN,baseline_A_KC,baseline_A_MBON_app,baseline_A_MBON_av,baseline_A_DAN_app,baseline_A_DAN_av,baseline_A_APL,baseline_B_PN,baseline_B_KC,baseline_B_MBON_app,baseline_B_MBON_av,baseline_B_DAN_app,baseline_B_DAN_av,baseline_B_APL,post_A_PN,post_A_KC,post_A_MBON_app,post_A_MBON_av,post_A_DAN_app,post_A_DAN_av,post_A_APL,post_B_PN,post_B_KC,post_B_MBON_app,post_B_MBON_av,post_B_DAN_app,post_B_DAN_av,post_B_APL
app-1701-B-unpaired,app,B,intact,0.0,0.0,0.0,0,True,,0.0,5.092657750006765,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
av-1701-A-intact,av,A,intact,0.16315393870853256,0.03136861117133383,0.13178532753719874,84,True,True,0.16315393870853256,10.745779584016418,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.051554457284075365,0.07776712989057735,0.07126207758623615,0.04965753594161427,0.0047692659837987265,2.924825625820957e-14,0.08159633777126438,0.05137408122254477,0.13103587227146735,0.11306581367638732,0.1084289688617679,0.006886268784347471,1.1984349458984058e-13,0.11856863533860132
av-1701-B-intact,av,B,intact,0.32591340092700694,0.04749269785427701,0.2784207030727299,232,True,True,0.32591340092700694,9.706351291999454,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156080333391218,0.07780375762139452,0.07091779996692621,0.05652074829384579,0.00456072022363067,2.4254581468613187e-14,0.08127789283798943,0.05134317009508356,0.1307060627621978,0.11441365877324566,0.07545751222186442,0.008013020102959234,2.2281070384233262e-13,0.11991787487883813
av-1702-A-intact,av,A,intact,0.3177051885453174,0.045457838872647094,0.2722473496726703,88,True,,0.3177051885453174,5.066343707992928,0.05266177501683526,0.09563487017967987,0.08816910162194032,0.09739517299997592,0.005389821747440114,4.3082752364216563e-14,0.09067535782243154,0.05107214500178628,0.0795352282250891,0.06804916976984553,0.07242168791278665,0.003893042952625891,5.366286086434035e-14,0.0733465446194094,0.052629402126072374,0.09542419989192108,0.08937708918343007,0.06645222119861477,0.006543668365436043,8.396648291310574e-14,0.0920035792228375,0.0510687232001012,0.07951257067880166,0.06819979495460063,0.06912955449276206,0.00400013764104208,5.830949920088792e-14,0.07349305490350937
av-1702-B-intact,av,B,intact,0.2480529388434275,0.03986349948684342,0.20818943935658407,166,True,,0.2480529388434275,5.030103750003036,0.05266177501683526,0.09563487017967987,0.08816910162194032,0.09739517299997592,0.005389821747440114,4.3082752364216563e-14,0.09067535782243154,0.05107214500178628,0.0795352282250891,0.06804916976984553,0.07242168791278665,0.003893042952625891,5.366286086434035e-14,0.0733465446194094,0.05265763040983331,0.09561007260299155,0.0883479908090313,0.09351266057107036,0.0055160933362777866,4.680230640271194e-14,0.09084939996577832,0.051054246556852145,0.07940486938130802,0.06876495535029725,0.05445727539001839,0.0045489365381615405,9.084126200614647e-14,0.07411693205891845
av-1703-A-intact,av,A,intact,0.236155307531831,0.05170012814634928,0.18445517938548173,160,True,,0.236155307531831,5.001141540997196,0.05248070641400678,0.11887914614794157,0.10683513841031661,0.11171972407276463,0.006678765599493019,5.73450951038067e-14,0.1101686999488164,0.05322654993034494,0.07871947768143145,0.07244064892428279,0.07095111534751483,0.004917216567263891,3.645427193761444e-14,0.07242259060490747,0.05245143497242383,0.11861958012166579,0.10795474057194304,0.0853365182769896,0.007545135098795188,9.162819181229637e-14,0.11126297860048387,0.05322154871666626,0.07869715324705427,0.07260206289831957,0.0672829335919219,0.005043044319551124,3.9705364389730246e-14,0.072585898661242
av-1703-B-intact,av,B,intact,0.3213669388782038,0.030459661904108093,0.2909072769740957,201,True,,0.3213669388782038,4.875255040999036,0.05248070641400678,0.11887914614794157,0.10683513841031661,0.11171972407276463,0.006678765599493019,5.73450951038067e-14,0.1101686999488164,0.05322654993034494,0.07871947768143145,0.07244064892428279,0.07095111534751483,0.004917216567263891,3.645427193761444e-14,0.07242259060490747,0.05247691314850136,0.11884519094138296,0.1069745942152111,0.10831677904948797,0.00679367954824435,6.055770763928209e-14,0.11030834120187373,0.05319584806251256,0.0785775829206721,0.07337583548828278,0.04814977259828965,0.005746024801556344,6.992353211471809e-14,0.07342056455501436
av-1701-A-freeze,av,A,freeze,0.0,0.0,0.0,0,True,,0.0,3.977113000000827,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
av-1701-B-freeze,av,B,freeze,0.0,0.0,0.0,0,True,,0.0,3.956511041003978,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
av-1701-A-silence_dan,av,A,silence_dan,0.0,0.0,0.0,0,True,,0.0,4.997376749990508,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,0.0,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,0.0,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,0.0,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,0.0,0.1184218657502974
